term,position
Avril ,3022770
Avril ,3022841
Avril ,3025390
Avril ,3036583
Avril ,3073488
Avril ,3073558
Avril ,3073979
Avril ,3101341
Avril ,3101847
Avril ,3104311
Avril ,3104513
Avril ,3172233
Avril ,3172302
Avril ,3177935
Avril ,3211502
Hal ,4031
Hal ,4631
Hal ,5092
Hal ,5794
Hal ,6027
Hal ,7353
Hal ,7400
Hal ,7479
Hal ,9524
Hal ,12124
Hal ,12776
Hal ,13039
Hal ,14059
Hal ,14849
Hal ,20281
Hal ,31676
Hal ,33177
Hal ,33684
Hal ,33689
Hal ,33829
Hal ,33947
Hal ,70683
Hal ,70995
Hal ,71514
Hal ,72861
Hal ,76244
Hal ,81788
Hal ,82030
Hal ,82310
Hal ,82562
Hal ,82791
Hal ,82922
Hal ,82991
Hal ,83155
Hal ,83354
Hal ,103154
Hal ,103177
Hal ,103820
Hal ,103841
Hal ,105630
Hal ,105651
Hal ,106063
Hal ,106152
Hal ,106389
Hal ,106948
Hal ,107475
Hal ,107699
Hal ,108155
Hal ,108626
Hal ,123101
Hal ,127308
Hal ,127552
Hal ,127857
Hal ,127934
Hal ,128409
Hal ,129551
Hal ,129756
Hal ,129934
Hal ,130204
Hal ,130424
Hal ,130551
Hal ,130618
Hal ,130740
Hal ,131033
Hal ,131176
Hal ,132015
Hal ,132337
Hal ,132726
Hal ,133166
Hal ,133245
Hal ,133706
Hal ,137482
Hal ,138254
Hal ,138515
Hal ,140076
Hal ,142417
Hal ,143074
Hal ,143344
Hal ,143405
Hal ,149134
Hal ,152147
Hal ,184589
Hal ,227372
Hal ,261171
Hal ,261655
Hal ,262275
Hal ,262285
Hal ,264812
Hal ,264907
Hal ,264920
Hal ,264934
Hal ,264948
Hal ,265174
Hal ,265529
Hal ,265735
Hal ,267806
Hal ,268234
Hal ,268332
Hal ,269210
Hal ,271010
Hal ,272802
Hal ,275222
Hal ,275545
Hal ,275907
Hal ,276092
Hal ,276518
Hal ,276806
Hal ,277076
Hal ,277194
Hal ,277517
Hal ,277674
Hal ,278667
Hal ,281017
Hal ,284011
Hal ,284454
Hal ,284699
Hal ,284903
Hal ,284986
Hal ,286004
Hal ,286139
Hal ,286148
Hal ,286846
Hal ,286945
Hal ,298525
Hal ,300500
Hal ,303057
Hal ,303488
Hal ,304288
Hal ,305423
Hal ,305807
Hal ,306015
Hal ,307811
Hal ,308094
Hal ,308997
Hal ,309273
Hal ,310254
Hal ,310601
Hal ,310987
Hal ,312445
Hal ,312660
Hal ,312720
Hal ,313017
Hal ,313029
Hal ,313128
Hal ,313309
Hal ,313650
Hal ,331273
Hal ,331822
Hal ,331969
Hal ,332015
Hal ,332178
Hal ,337885
Hal ,337896
Hal ,345716
Hal ,346480
Hal ,375742
Hal ,376288
Hal ,376299
Hal ,376670
Hal ,377637
Hal ,377881
Hal ,378404
Hal ,379556
Hal ,379667
Hal ,379763
Hal ,421400
Hal ,422720
Hal ,422810
Hal ,426546
Hal ,428389
Hal ,428486
Hal ,428804
Hal ,429454
Hal ,429708
Hal ,429912
Hal ,429956
Hal ,430249
Hal ,478371
Hal ,478595
Hal ,479232
Hal ,479484
Hal ,528439
Hal ,529676
Hal ,533237
Hal ,533270
Hal ,533404
Hal ,533463
Hal ,534201
Hal ,535920
Hal ,536304
Hal ,536614
Hal ,537416
Hal ,537464
Hal ,537993
Hal ,538828
Hal ,540715
Hal ,540953
Hal ,541363
Hal ,541459
Hal ,541551
Hal ,541700
Hal ,541819
Hal ,556942
Hal ,557394
Hal ,595100
Hal ,595241
Hal ,595660
Hal ,595894
Hal ,597874
Hal ,598390
Hal ,598736
Hal ,599225
Hal ,599254
Hal ,600531
Hal ,600841
Hal ,601512
Hal ,602561
Hal ,602610
Hal ,603358
Hal ,604758
Hal ,605144
Hal ,605504
Hal ,608223
Hal ,608523
Hal ,608727
Hal ,608762
Hal ,609092
Hal ,610130
Hal ,610415
Hal ,610661
Hal ,611306
Hal ,612040
Hal ,612619
Hal ,613100
Hal ,614826
Hal ,615279
Hal ,615493
Hal ,615589
Hal ,615824
Hal ,616283
Hal ,686241
Hal ,689213
Hal ,690092
Hal ,691193
Hal ,691403
Hal ,695493
Hal ,696016
Hal ,696573
Hal ,696731
Hal ,696809
Hal ,699838
Hal ,700184
Hal ,704643
Hal ,709034
Hal ,713830
Hal ,714712
Hal ,722983
Hal ,723678
Hal ,726958
Hal ,731618
Hal ,732251
Hal ,732347
Hal ,732624
Hal ,733129
Hal ,733403
Hal ,733483
Hal ,736388
Hal ,744292
Hal ,744418
Hal ,744497
Hal ,744589
Hal ,750822
Hal ,761300
Hal ,761720
Hal ,761840
Hal ,762237
Hal ,762744
Hal ,762971
Hal ,763094
Hal ,763240
Hal ,763362
Hal ,796253
Hal ,797540
Hal ,798531
Hal ,801872
Hal ,801944
Hal ,808482
Hal ,808547
Hal ,812087
Hal ,834114
Hal ,836130
Hal ,856347
Hal ,881994
Hal ,883419
Hal ,883599
Hal ,884179
Hal ,884452
Hal ,885423
Hal ,886599
Hal ,886893
Hal ,887182
Hal ,887745
Hal ,897345
Hal ,898276
Hal ,898816
Hal ,904808
Hal ,904905
Hal ,905127
Hal ,905222
Hal ,905554
Hal ,905738
Hal ,905844
Hal ,906474
Hal ,906526
Hal ,906587
Hal ,906782
Hal ,906943
Hal ,907024
Hal ,907119
Hal ,907400
Hal ,907450
Hal ,920987
Hal ,921568
Hal ,922604
Hal ,933288
Hal ,941409
Hal ,941957
Hal ,942715
Hal ,943438
Hal ,944839
Hal ,946959
Hal ,948895
Hal ,950243
Hal ,950981
Hal ,950990
Hal ,952781
Hal ,956389
Hal ,956674
Hal ,957588
Hal ,959242
Hal ,959297
Hal ,959424
Hal ,959676
Hal ,959853
Hal ,961840
Hal ,962101
Hal ,962684
Hal ,966096
Hal ,967641
Hal ,969190
Hal ,971307
Hal ,972879
Hal ,973219
Hal ,973388
Hal ,973427
Hal ,975024
Hal ,975516
Hal ,976195
Hal ,976329
Hal ,976410
Hal ,979268
Hal ,980425
Hal ,980462
Hal ,980871
Hal ,982150
Hal ,982866
Hal ,982979
Hal ,983042
Hal ,1098965
Hal ,1141650
Hal ,1142005
Hal ,1142398
Hal ,1142530
Hal ,1142817
Hal ,1143119
Hal ,1145708
Hal ,1182475
Hal ,1182754
Hal ,1184028
Hal ,1184457
Hal ,1186794
Hal ,1188191
Hal ,1191289
Hal ,1193319
Hal ,1193941
Hal ,1200829
Hal ,1204261
Hal ,1226180
Hal ,1246459
Hal ,1246468
Hal ,1249844
Hal ,1251931
Hal ,1263107
Hal ,1295935
Hal ,1296430
Hal ,1296445
Hal ,1297666
Hal ,1297802
Hal ,1298377
Hal ,1302735
Hal ,1303027
Hal ,1303246
Hal ,1304555
Hal ,1306274
Hal ,1307135
Hal ,1308443
Hal ,1308707
Hal ,1308947
Hal ,1309079
Hal ,1309226
Hal ,1309525
Hal ,1309823
Hal ,1310001
Hal ,1310074
Hal ,1310429
Hal ,1310536
Hal ,1310688
Hal ,1313801
Hal ,1313834
Hal ,1314458
Hal ,1317660
Hal ,1318783
Hal ,1318945
Hal ,1319008
Hal ,1319300
Hal ,1319482
Hal ,1319547
Hal ,1319671
Hal ,1319692
Hal ,1320954
Hal ,1321872
Hal ,1322886
Hal ,1329683
Hal ,1329830
Hal ,1331188
Hal ,1470932
Hal ,1471598
Hal ,1472623
Hal ,1472975
Hal ,1473281
Hal ,1474508
Hal ,1476403
Hal ,1477792
Hal ,1478581
Hal ,1478685
Hal ,1480258
Hal ,1480311
Hal ,1480879
Hal ,1481997
Hal ,1482810
Hal ,1482894
Hal ,1483049
Hal ,1484266
Hal ,1485203
Hal ,1485532
Hal ,1486045
Hal ,1486633
Hal ,1490875
Hal ,1491019
Hal ,1491303
Hal ,1491465
Hal ,1491985
Hal ,1492455
Hal ,1492623
Hal ,1492730
Hal ,1492845
Hal ,1493007
Hal ,1496230
Hal ,1496520
Hal ,1497189
Hal ,1498215
Hal ,1498363
Hal ,1498729
Hal ,1498983
Hal ,1500016
Hal ,1500272
Hal ,1501660
Hal ,1502836
Hal ,1503153
Hal ,1503240
Hal ,1504729
Hal ,1504978
Hal ,1505361
Hal ,1505573
Hal ,1505940
Hal ,1506675
Hal ,1507556
Hal ,1508366
Hal ,1508466
Hal ,1508495
Hal ,1509050
Hal ,1510232
Hal ,1510408
Hal ,1510567
Hal ,1510704
Hal ,1510963
Hal ,1511605
Hal ,1512691
Hal ,1514257
Hal ,1514528
Hal ,1514888
Hal ,1515318
Hal ,1515711
Hal ,1516037
Hal ,1516192
Hal ,1516406
Hal ,1516617
Hal ,1517483
Hal ,1517490
Hal ,1518894
Hal ,1519116
Hal ,1521053
Hal ,1521668
Hal ,1521976
Hal ,1522706
Hal ,1523483
Hal ,1524755
Hal ,1525691
Hal ,1525757
Hal ,1526104
Hal ,1527312
Hal ,1527394
Hal ,1528052
Hal ,1567668
Hal ,1575972
Hal ,1578276
Hal ,1597036
Hal ,1614716
Hal ,1616165
Hal ,1618805
Hal ,1618963
Hal ,1618990
Hal ,1619189
Hal ,1619583
Hal ,1627015
Hal ,1627734
Hal ,1633255
Hal ,1657745
Hal ,1703876
Hal ,1704896
Hal ,1704915
Hal ,1705239
Hal ,1705297
Hal ,1705447
Hal ,1705486
Hal ,1705724
Hal ,1710613
Hal ,1710679
Hal ,1710747
Hal ,1712530
Hal ,1712564
Hal ,1712679
Hal ,1712737
Hal ,1792684
Hal ,1799066
Hal ,1815014
Hal ,1815082
Hal ,1817060
Hal ,1820367
Hal ,1821663
Hal ,1821965
Hal ,1822407
Hal ,1822569
Hal ,1824410
Hal ,1827371
Hal ,1827416
Hal ,1832438
Hal ,1834102
Hal ,1834911
Hal ,1835686
Hal ,1836322
Hal ,1836884
Hal ,1837116
Hal ,1837142
Hal ,1837247
Hal ,1837252
Hal ,1837287
Hal ,1837294
Hal ,1837332
Hal ,1837571
Hal ,1838879
Hal ,1839116
Hal ,1839408
Hal ,1839501
Hal ,1841942
Hal ,1843671
Hal ,1843798
Hal ,1844737
Hal ,1844805
Hal ,1844897
Hal ,1845005
Hal ,1845599
Hal ,1845655
Hal ,1845897
Hal ,1846735
Hal ,1846923
Hal ,1883579
Hal ,1883745
Hal ,1884087
Hal ,1886076
Hal ,1886234
Hal ,1886452
Hal ,1886566
Hal ,1886926
Hal ,1887183
Hal ,1887207
Hal ,1887315
Hal ,1887864
Hal ,1887893
Hal ,1888022
Hal ,1888228
Hal ,1888282
Hal ,1888504
Hal ,1888628
Hal ,1888644
Hal ,1888709
Hal ,1889281
Hal ,1889407
Hal ,1889583
Hal ,1889784
Hal ,1890605
Hal ,1890662
Hal ,1891778
Hal ,1892182
Hal ,1892390
Hal ,1892627
Hal ,1895919
Hal ,1897212
Hal ,1897338
Hal ,1897620
Hal ,1897744
Hal ,1897896
Hal ,1898192
Hal ,1899015
Hal ,1899114
Hal ,1899487
Hal ,1899579
Hal ,1899941
Hal ,1900271
Hal ,1901100
Hal ,1901735
Hal ,1902066
Hal ,1902386
Hal ,1903173
Hal ,1903383
Hal ,1903585
Hal ,1904007
Hal ,1904012
Hal ,1904279
Hal ,1904616
Hal ,1905233
Hal ,1905639
Hal ,1905840
Hal ,1906687
Hal ,1906863
Hal ,1907051
Hal ,1907090
Hal ,1909082
Hal ,1910446
Hal ,1913096
Hal ,1913433
Hal ,1913619
Hal ,1914301
Hal ,1917037
Hal ,1921376
Hal ,1924541
Hal ,1937024
Hal ,1939631
Hal ,1939733
Hal ,1940245
Hal ,1940597
Hal ,1948055
Hal ,1948259
Hal ,1948368
Hal ,1948515
Hal ,1948591
Hal ,1948730
Hal ,1948851
Hal ,1949689
Hal ,1950138
Hal ,1950878
Hal ,1951135
Hal ,1951331
Hal ,1951532
Hal ,1951608
Hal ,1951714
Hal ,1951873
Hal ,1954590
Hal ,1954707
Hal ,1954860
Hal ,1955013
Hal ,1955374
Hal ,1955645
Hal ,1958710
Hal ,1959119
Hal ,1959653
Hal ,1961323
Hal ,1961406
Hal ,1961554
Hal ,1961696
Hal ,1961719
Hal ,1961820
Hal ,1961883
Hal ,1961997
Hal ,1962841
Hal ,1972918
Hal ,1973710
Hal ,1974229
Hal ,1974463
Hal ,1974481
Hal ,1974790
Hal ,1974960
Hal ,1975381
Hal ,1975804
Hal ,1976055
Hal ,1976192
Hal ,1976293
Hal ,1976559
Hal ,1976734
Hal ,1976884
Hal ,1980550
Hal ,1980844
Hal ,1982648
Hal ,1982861
Hal ,1983139
Hal ,1983457
Hal ,1994995
Hal ,1996660
Hal ,1996879
Hal ,1997426
Hal ,1997572
Hal ,1999441
Hal ,2000003
Hal ,2001387
Hal ,2018635
Hal ,2018817
Hal ,2018967
Hal ,2019027
Hal ,2019215
Hal ,2019605
Hal ,2019906
Hal ,2020374
Hal ,2020994
Hal ,2021164
Hal ,2021569
Hal ,2021781
Hal ,2022080
Hal ,2022637
Hal ,2023200
Hal ,2023808
Hal ,2023905
Hal ,2024468
Hal ,2025018
Hal ,2026182
Hal ,2026856
Hal ,2027576
Hal ,2031874
Hal ,2032398
Hal ,2033120
Hal ,2054438
Hal ,2055589
Hal ,2056659
Hal ,2056753
Hal ,2056864
Hal ,2144572
Hal ,2145250
Hal ,2148133
Hal ,2148379
Hal ,2148633
Hal ,2148954
Hal ,2149205
Hal ,2150846
Hal ,2151150
Hal ,2151281
Hal ,2152277
Hal ,2152399
Hal ,2153154
Hal ,2153221
Hal ,2154087
Hal ,2154788
Hal ,2154961
Hal ,2155215
Hal ,2155826
Hal ,2156071
Hal ,2156923
Hal ,2187811
Hal ,2188469
Hal ,2188874
Hal ,2189122
Hal ,2189258
Hal ,2189367
Hal ,2189588
Hal ,2189875
Hal ,2189940
Hal ,2199123
Hal ,2199480
Hal ,2199520
Hal ,2199790
Hal ,2199952
Hal ,2201692
Hal ,2202186
Hal ,2204576
Hal ,2204584
Hal ,2205425
Hal ,2209656
Hal ,2209736
Hal ,2214144
Hal ,2217060
Hal ,2218055
Hal ,2218366
Hal ,2218385
Hal ,2218437
Hal ,2218472
Hal ,2219701
Hal ,2223147
Hal ,2224415
Hal ,2224507
Hal ,2224591
Hal ,2225201
Hal ,2250241
Hal ,2250323
Hal ,2250373
Hal ,2251461
Hal ,2251791
Hal ,2254439
Hal ,2254845
Hal ,2255153
Hal ,2255265
Hal ,2257131
Hal ,2257526
Hal ,2257622
Hal ,2257665
Hal ,2257858
Hal ,2257975
Hal ,2288078
Hal ,2288893
Hal ,2289235
Hal ,2289708
Hal ,2289964
Hal ,2290660
Hal ,2291671
Hal ,2291844
Hal ,2292254
Hal ,2292750
Hal ,2293363
Hal ,2293895
Hal ,2294189
Hal ,2294529
Hal ,2295046
Hal ,2295184
Hal ,2295898
Hal ,2295953
Hal ,2296549
Hal ,2297219
Hal ,2297316
Hal ,2298102
Hal ,2298773
Hal ,2299864
Hal ,2300229
Hal ,2300570
Hal ,2300620
Hal ,2300924
Hal ,2300960
Hal ,2301697
Hal ,2302124
Hal ,2302677
Hal ,2302884
Hal ,2303130
Hal ,2303669
Hal ,2303995
Hal ,2305734
Hal ,2306307
Hal ,2306738
Hal ,2307815
Hal ,2309331
Hal ,2309614
Hal ,2310002
Hal ,2310021
Hal ,2310804
Hal ,2310940
Hal ,2311164
Hal ,2311776
Hal ,2311927
Hal ,2313038
Hal ,2313460
Hal ,2313692
Hal ,2314470
Hal ,2314707
Hal ,2315040
Hal ,2315311
Hal ,2316183
Hal ,2316737
Hal ,2317272
Hal ,2317493
Hal ,2317510
Hal ,2317863
Hal ,2318190
Hal ,2318233
Hal ,2318304
Hal ,2318534
Hal ,2319732
Hal ,2320060
Hal ,2320414
Hal ,2320869
Hal ,2321047
Hal ,2321600
Hal ,2322331
Hal ,2322661
Hal ,2323246
Hal ,2324351
Hal ,2324573
Hal ,2324735
Hal ,2325124
Hal ,2325747
Hal ,2326111
Hal ,2326257
Hal ,2334320
Hal ,2446596
Hal ,2467149
Hal ,2467389
Hal ,2500974
Hal ,2511636
Hal ,2514427
Hal ,2520461
Hal ,2522051
Hal ,2528146
Hal ,2529313
Hal ,2621640
Hal ,2624463
Hal ,2723229
Hal ,2727527
Hal ,2793361
Hal ,2793416
Hal ,2793480
Hal ,2794021
Hal ,2794183
Hal ,2794734
Hal ,2795234
Hal ,2795257
Hal ,2796263
Hal ,2796609
Hal ,2842033
Hal ,2842256
Hal ,2843644
Hal ,2890262
Hal ,2894649
Hal ,2894958
Hal ,2894992
Hal ,2896236
Hal ,2896284
Hal ,2897997
Hal ,2900846
Hal ,2901044
Hal ,2901212
Hal ,2901324
Hal ,2901366
Hal ,2901879
Hal ,2902147
Hal ,2902398
Hal ,2902457
Hal ,2903216
Hal ,2906547
Hal ,2906574
Hal ,2906977
Hal ,2923360
Hal ,2923873
Hal ,2924027
Hal ,2924339
Hal ,2924637
Hal ,2925389
Hal ,2925698
Hal ,2925793
Hal ,2926767
Hal ,2926806
Hal ,2927193
Hal ,2927340
Hal ,2927691
Hal ,2927712
Hal ,2933157
Hal ,2935491
Hal ,2940888
Hal ,2941888
Hal ,2943005
Hal ,2953986
Hal ,2954685
Hal ,2955920
Hal ,2961087
Hal ,2961682
Hal ,2966112
Hal ,2966146
Hal ,2966434
Hal ,2967066
Hal ,2969817
Hal ,2969955
Hal ,2970052
Hal ,2970419
Hal ,2970630
Hal ,2970764
Hal ,2971773
Hal ,2972005
Hal ,2972079
Hal ,2972511
Hal ,2972920
Hal ,2973072
Hal ,2973823
Hal ,2974059
Hal ,2976246
Hal ,2976498
Hal ,2977936
Hal ,2977964
Hal ,2981254
Hal ,2981449
