#outline scraped from website
Ch.,Scene,Page #,Year,Synopsis
,156,755-769,YDAU,"11/11: Mario filming for his documentary. Interviews Felicity Zweig, LaMont Chu, and then the Moms. He asks her, ""How can tell if somebody's sad?""Ê"
,157,769-774,YDAU,Mario and Hal talk in their room. Hal describes how Pemulis talked his way out of the urine test.
,158,775-782,YDAU,Maranthe and Kate Gompert meet in a bar
,159,782-785,YDAU,Mario tells Hal that he seems sad.
,160,785-787,YDAU,11/17: Johnette lets an upscale kid (Hal) into Ennet House.
,161,787,,footnote 324
,162,787-795,YDAU,"Results of Rodney Tine Jr.'s interrogation of Molly Notkin. Description of Thanksgiving dinner at Joelle's parents house, YTMP.Ê"
,163,795,,footnote 332
,164,795-808,YDAU,"Hal at what he thinks is a meeting for Narcotics Anonymous. Turns out the meeting focuses on the Inner Infant, and one of the speakers is Kevin Bain, Orin's friend Marlon's brother."
28,165,809-827,YDAU,"Gately in the hospital. Interactions with Tiny Ewell, Joelle, Pat M., Calvin Thrust."
,166,827-845,YDAU,Gately in the hospital. The wraith. Gately remembers the MP that used to live with his mother.
,167,845-846,YDAU,11/16: The AFR's plan to replace the Quebecois tennis players en route to ETA
,168,846-851,YDAU,Gately in the hospital: His memories of Mrs. Waite and his vision of Joelle as death.
,169,851-854,YDAU,11/20: Hal narrates. He wakes up after a bad dream.
,170,854-864,YDAU,Gately in the hospital. Joelle visits him.
,171,864-876,YDAU,"Hal narrates: Ortho ""The Darkness"" Stice with his forehead stuck to a window in the dorm's hallway. Late introduction of Kenkle and Brandt, ETA janitorial staff."
,172,876-883,YDAU,"11/20: Meeting between Rodney Tine, Sr. (and staff) with Glad regarding Year of Glad and ""Fully Functional Phil,"" the prancing ass."
,173,883-896,YDAU,"Gately in the hospital. Memories of ""Nom"" from ""Cheers!"" Ferocious Francis visits. More about Gatley's past: how he started crewing."
,174Ê,896-902Ê,YDAU,"Hal narrates: in his room, he lies down and is unable to get up."
,175,902-906,YDAU,Gately in the hospital. The history of his substance abuse.
,176,906-911,YDAU,Hal narrates: he talks with Pemulis then watches part of his father's filmÊGood-Looking Men in Small Clever Rooms That Utilize Every Centimeter of Available Space with Mind-Boggling Efficiency.
,177,911-916,YDAU,Gately in the hospital. Remembers working for Willie Sorkin with Gene Fackelmann.
,178,916,YDAU,Pemulis finds several drop-ceiling panels on the floor of Subdormitory B. He's looking for an old sneaker behind the relevant panel.
,179,916-934,YDAU,"Gately in the hospital. Memories of. More on Gene Fackelmann. His ex-girlfriend Pamela Hoffman-Jeep. His dream about a kid and Joelle in a graveyardÉ""Too Late."""
,180,934,YDAU,Joelle is apprehended.
,181,934-938,YDAU,Gately in the hospital. Remember getting high with Gene on the drug Gene bought with stolen money.
,182,938-941,YDAU,Joelle being interviewed by Helen Steeply.
,183,941-958,YDAU,Hal narrates: Mario and Kyle Dempy Coyle are also watching one of Himself's films. Explanation of what happened to Stice. Description ofÊAccomplice!
,184,958,YDAU,"Joelle returns to Ennett House, sees a police car stationed outside"
,185,958-960,YDAU,"Mikey, a ""sick fuck,"" tells his story at an AA meeting"
,186,960-964,YDAU,An ADA talks with Pat M. about the Ninth Step. He needs to Gately to forgive him.
,187,964-971,YDAU,11/20: Immediately Pre-Fundraiser Exhibition Fête. Narrated by an unnamed ETA student.Ê
,188,971-972,YDAU,"Orin in a huge inverted glass, interrogation by Luria P------Ê"
,189,972-981,YDAU,"Gately in the hospital: After the drug binge, Bobby C arrives to punish Gene Fackelman. Ê"
